Item name,ID
Acacia Log,minecraft:acacia_log
Air,minecraft:air
Amethyst Shard,minecraft:amethyst_shard
Apple,minecraft:apple
Bamboo,minecraft:bamboo
Basalt,minecraft:basalt
Blaze Powder,minecraft:blaze_powder
Blue Ice,minecraft:blue_ice
Blue Wool,minecraft:blue_wool
Bone,minecraft:bone
Bone Block,minecraft:bone_block
Bone Meal,minecraft:bone_meal
Bread,minecraft:bread
Brown Mushroom,minecraft:brown_mushroom
Brown Wool,minecraft:brown_wool
Cactus,minecraft:cactus
Cake,minecraft:cake
Candle,minecraft:candle
Carrot,minecraft:carrot
Charcoal,minecraft:charcoal
Clay Ball,minecraft:clay_ball
Coal,minecraft:coal
Cooked Chicken,minecraft:cooked_chicken
Dark Oak Sapling,minecraft:dark_oak_sapling
Diamond,minecraft:diamond
Dragon's Breath,minecraft:dragon_breath
Echo Shard,minecraft:echo_shard
Egg,minecraft:egg
Emerald,minecraft:emerald
Ender Pearl,minecraft:ender_pearl
Feather,minecraft:feather
Flint,minecraft:flint
Glow Ink Sac,minecraft:glow_ink_sac
Gold Nugget,minecraft:gold_nugget
Golden Helmet,minecraft:golden_helmet
Green Dye,minecraft:green_dye
Gunpowder,minecraft:gunpowder
Heart of the Sea,minecraft:heart_of_the_sea
Honey Bottle,minecraft:honey_bottle
Honeycomb,minecraft:honeycomb
Ink Sac,minecraft:ink_sac
Iron Helmet,minecraft:iron_helmet
Iron Ingot,minecraft:iron_ingot
Iron Nugget,minecraft:iron_nugget
Iron Sword,minecraft:iron_sword
Kelp,minecraft:kelp
Leather,minecraft:leather
Light Blue Wool,minecraft:light_blue_wool
Lily of the Valley,minecraft:lily_of_the_valley
Lily Pad,minecraft:lily_pad
Magma Cream,minecraft:magma_cream
Melon Seeds,minecraft:melon_seeds
Mud,minecraft:mud
Name Tag,minecraft:name_tag
Nautilus Shell,minecraft:nautilus_shell
Nether Quartz,minecraft:quartz
Nether Star,minecraft:nether_star
Ochre Froglight,minecraft:ochre_froglight
Pearlescent Froglight,minecraft:pearlescent_froglight
Phantom Membrane,minecraft:phantom_membrane
Poppy,minecraft:poppy
Potato,minecraft:potato
Prismarine Crystal,minecraft:prismarine_crystals
Prismarine Shard,minecraft:prismarine_shard
Pufferfish,minecraft:pufferfish
Pumpkin Seeds,minecraft:pumpkin_seeds
Rabbit Hide,minecraft:rabbit_hide
Rabbit's Foot,minecraft:rabbit_foot
Raw Beef,minecraft:beef
Raw Chicken,minecraft:chicken
Raw Cod,minecraft:cod
Raw Copper,minecraft:raw_copper
Raw Iron,minecraft:raw_iron
Raw Mutton,minecraft:mutton
Raw Porkchop,minecraft:porkchop
Raw Rabbit,minecraft:rabbit
Raw Salmon,minecraft:salmon
Red Mushroom,minecraft:red_mushroom
Redstone Dust,minecraft:redstone
Rose Bush,minecraft:rose_bush
Rotten Flesh,minecraft:rotten_flesh
Scute,minecraft:scute
Slimeball,minecraft:slime_ball
Snowball,minecraft:snowball
Spider Eye,minecraft:spider_eye
Stick,minecraft:stick
Stone Axe,minecraft:stone_axe
String,minecraft:string
Sugar,minecraft:sugar
Sunflower,minecraft:sunflower
Sweet Berries,minecraft:sweet_berries
Wheat Seeds,minecraft:wheat_seeds
White Wool,minecraft:white_wool
End Crystal,minecraft:end_crystal
Chorus Fruit,minecraft:chorus_fruit
Shulker Shell,minecraft:shulker_shell
